ZIP,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
07840,899,678,$421 
07842,*,*,*
07843,372,275,$425 
07844,13,*,*
07845,*,*,*
07847,49,33,$406 
07848,153,121,$392 
07849,251,180,$402 
07850,174,134,$411 
07851,*,*,*
07852,124,88,$455 
07853,397,264,$377 
07856,174,123,$403 
07857,102,91,$416 
07860,680,547,$417 
07863,118,83,$440 
07865,89,68,$442 
07866,591,424,$410 
07869,667,450,$400 
07870,*,*,*
07871,635,422,$387 
07874,275,199,$401 
07875,20,*,*
07876,266,203,$386 
07878,43,29,$312 
07879,*,*,*
07880,*,*,*
07882,378,305,$412 
07885,286,240,$419 
07901,659,376,$403 
07920,748,438,$427 
07921,290,211,$456 
07922,302,193,$413 
07924,214,128,$419 
07926,15,*,*
07927,103,76,$472 
07928,478,241,$424 
07930,277,171,$398 
07931,133,65,$361 
07932,315,193,$400 
07933,106,70,$435 
07934,35,22,$391 
07935,16,*,*
07936,395,295,$430 
07938,*,*,*
07940,398,245,$434 
07945,292,152,$398 
07946,99,65,$365 
07950,631,429,$435 
07960,"1,024",629,$396 
07970,*,*,*
07974,306,168,$435 
07976,34,*,*
07977,41,25,$449 
07979,*,*,*
07980,77,55,$457 
07981,302,217,$412 
08001,16,*,*
08002,839,614,$431 
08003,"1,137",784,$395 
08004,252,204,$428 
08005,577,449,$438 
08006,43,19,$336 
08007,128,89,$448 
08008,333,233,$425 
08009,373,279,$420 
08010,185,154,$421 
08012,865,672,$386 
08014,*,*,*
08015,259,220,$403 
08016,620,467,$421 
08018,*,*,*
08019,27,*,*
08020,74,54,$380 
08021,904,736,$398 
08022,197,128,$400 
08023,*,*,*
08025,*,*,*
08026,55,39,$406 
08027,95,74,$369 
08028,363,285,$419 
08029,122,104,$428 
08030,260,219,$413 
08031,293,244,$432 
08032,*,*,*
08033,546,320,$340 
08034,570,412,$410 
08035,226,133,$424 
08036,167,102,$387 
08037,617,456,$418 
08038,*,*,*
08041,37,20,$486 
08042,*,*,*
08043,"1,108",776,$405 
08045,49,*,*
08046,474,397,$409 
08048,230,174,$382 
08049,148,104,$377 
08050,858,662,$401 
08051,235,188,$429 
08052,513,397,$410 
08053,"1,394","1,013",$410 
08054,"1,262",885,$409 
08055,817,510,$375 
08056,125,81,$378 
08057,622,368,$408 
08059,137,107,$413 
08060,468,363,$390 
08061,59,31,$342 
08062,473,306,$372 
08063,72,*,*
08064,*,*,*
08065,155,126,$427 
08066,141,120,$451 
08067,40,*,*
08068,109,82,$399 
08069,167,131,$421 
08070,218,180,$430 
08071,237,162,$381 
08072,14,*,*
08073,12,*,*
08074,*,*,*
08075,669,514,$420 
08077,507,392,$405 
08078,231,182,$422 
08079,160,130,$430 
08080,"1,039",755,$390 
08081,"1,082",847,$400 
08083,244,198,$388 
08084,143,117,$374 
08085,495,332,$382 
08086,199,157,$399 
08087,711,570,$452 
08088,646,419,$419 
08089,90,74,$451 
08090,178,143,$357 
08091,159,133,$436 
08092,170,132,$406 
08093,192,164,$438 
08094,950,711,$386 
08095,*,*,*
08096,771,605,$384 
08097,64,48,$401 
08098,232,180,$372 
08102,70,*,*
08103,55,*,*
08104,164,141,$410 
08105,284,259,$424 
08106,283,198,$396 
08107,315,245,$407 
08108,552,361,$400 
08109,506,408,$409 
08110,335,301,$439 
08201,267,229,$415 
08202,53,34,$386 
08203,293,228,$472 
08204,713,542,$424 
08205,779,649,$434 
08210,682,484,$401 
08212,*,*,*
08213,*,*,*
08214,15,*,*
08215,319,257,$410 
08217,*,*,*
08218,*,*,*
08219,*,*,*
08220,*,*,*
08221,251,190,$406 
08223,160,118,$381 
08224,17,*,*
08225,357,287,$416 
08226,498,380,$423 
08230,186,159,$403 
08232,242,214,$476 
08234,"1,404","1,152",$426 
08240,*,*,*
08241,47,*,*
08242,165,137,$436 
08243,90,67,$430 
08244,379,313,$438 
08245,*,*,*
08246,*,*,*
08247,53,22,$385 
08248,*,*,*
08250,*,*,*
08251,321,260,$431 
08252,*,*,*
08260,518,412,$440 
08270,210,138,$454 
08302,516,425,$424 
08310,44,*,*
08311,30,*,*
08312,134,103,$449 
08314,*,*,*
08315,*,*,*
08316,*,*,*
08317,51,36,$460 
08318,230,178,$411 
08319,37,*,*
08320,*,*,*
08321,*,*,*
08322,271,170,$418 
08323,25,*,*
08324,*,*,*
08326,32,*,*
08327,12,*,*
08328,35,*,*
08329,*,*,*
08330,654,523,$429 
08332,516,421,$434 
08340,20,*,*
08341,42,30,$456 
08342,*,*,*
08343,111,89,$435 
08344,141,99,$453 
08345,25,*,*
08346,*,*,*
08347,*,*,*
08348,*,*,*
08349,29,*,*
08350,31,*,*
08352,*,*,*
08353,12,*,*
08360,632,557,$459 
08361,415,314,$434 
08362,*,*,*
08401,522,459,$451 
08402,234,164,$432 
08403,30,*,*
08404,*,*,*
08406,303,256,$473 
08501,182,119,$370 
08502,335,180,$468 
08505,409,307,$422 
08510,173,112,$395 
08511,22,*,*
08512,399,277,$465 
08514,125,75,$410 
08515,113,72,$405 
08518,123,97,$382 
08520,793,630,$438 
08525,181,114,$386 
08527,"1,583","1,249",$372 
08528,12,*,*
08530,323,202,$441 
08533,142,104,$436 
08534,396,215,$394 
08535,180,115,$377 
08536,622,378,$392 
08540,"1,429",787,$434 
08542,85,46,$433 
08543,*,*,*
08544,*,*,*
08550,618,373,$475 
08551,203,143,$434 
08553,29,16,$330 
08554,61,*,*
08555,29,*,*
08556,*,*,*
08557,*,*,*
08558,212,102,$441 
08559,217,141,$424 
08560,112,68,$401 
08561,19,*,*
08562,128,101,$402 
08602,*,*,*
08603,*,*,*
08607,*,*,*
08608,17,*,*
08609,127,114,$423 
08610,612,490,$397 
08611,229,192,$394 
08618,432,341,$395 
08619,545,393,$388 
08620,246,187,$403 
08628,219,148,$431 
08629,175,156,$437 
08638,381,303,$433 
08641,*,*,*
08646,*,*,*
08648,888,637,$417 
08650,*,*,*
08690,439,311,$384 
08691,458,296,$402 
08701,"4,389","3,528",$252 
08720,35,*,*
08721,641,498,$383 
08722,231,183,$420 
08723,970,740,$407 
08724,"1,211",964,$397 
08730,166,102,$391 
08731,570,451,$402 
08732,65,40,$438 
08733,61,50,$441 
08734,204,152,$388 
08735,89,65,$438 
08736,479,337,$405 
08738,35,16,$300 
08739,*,*,*
08740,68,54,$377 
08741,77,59,$406 
08742,903,661,$402 
08750,101,60,$435 
08751,139,103,$460 
08752,51,*,*
08753,"1,968","1,524",$397 
08754,*,*,*
08755,872,675,$390 
08757,752,651,$527 
08758,179,137,$412 
08759,711,608,$547 
08801,214,151,$447 
08802,121,94,$447 
08803,*,*,*
08804,97,84,$438 
08805,286,216,$403 
08807,"1,030",676,$428 
08808,*,*,*
08809,176,119,$378 
08810,269,184,$472 
08812,452,363,$409 
08816,"1,773","1,309",$430 
08817,"1,495","1,156",$430 
08818,*,*,*
08820,"1,879","1,319",$461 
08821,12,*,*
08822,891,647,$431 
08823,340,254,$441 
08824,334,230,$494 
08825,213,155,$438 
